id_game,time_to_beat
10049,37800
1372,46380
9192,21600
7331,72000
232,36000
10089,8160
231,43200
3109,18000
472,576000
7789,180000
4754,64800
2963,7200000
2899,72000
121,72000
1331,11700
113,72420
2172,36000
11133,216000
18013,10800
3020,45000
5025,11700
8635,16800
19562,37500
7543,28320
14390,28800
26193,31500
19561,57600
11393,90000
11059,54000
7635,37440
6,720000
500,46800
558,64800
343,25200
7482,86400
836,25200
370,172800
62466,1140
1029,180000
18689,13800
960,43200
7609,28800
1352,14400
2599,46800
4754,64800
9730,19800
1979,28800
519,14400
1384,21600
2686,72000
2345,54000
5638,18000
2997,362340
74,103260
1871,63000
519,18000
3153,21600
2364,234000
5623,36000
9053,10800
28540,241200
559,24480
2249,54600
72,14400
1819,288000
3140,162000
375,37920
148,36000
1051,21600
979,90000
1638,32400
1156,68400
11078,36900
5082,306000
71,9000
1517,271620
3349,54000
56,216000
7690,10800
10939,76260
501,115200
9638,18000
118,90000
1887,252000
2552,144000
3082,5400
109,108000
5540,47460
501,108000
65,23400
7047,349200
7650,43620
4847,57600
5328,7200
2525,25200
21599,6300
1384,21600
472,216000
2132,360000
493,31440
2853,22200
9630,486000
12579,147600
565,72000
2003,86400
873,55800
14593,90180
14548,201600
5606,67020
1058,360000
108787,14100
8254,45960
118,214560
81350,13080
2129,21600
7879,1620
2355,32400
1164,32400
11233,8820
72,21600
7386,90000
518,14400
111,25200
1011,252000
4,85500
518,14400
1381,72000
8652,31140
7599,46800
1283,18000
142,32400
2853,18000
837,144000
59,180000
127,118800
2476,47400
1962,77460
11130,7200
21,43200
3015,5400
123,720000
10919,154800
2973,21600
375,32400
3075,72000
1182,68400
2207,30600
18061,600
127,100800
7120,77340
7122,23520
24220,145680
6880,43200
27028,4800
36897,20700
6036,62820
1561,144000
338,14520
5797,53700
23245,23400
7211,14400
3242,14400
72,28800
9066,720000
4756,43200
6036,52200
740,46320
3762,22140
18484,16200
18320,43200
87514,3600
16587,108000
732,43200
1267,108000
8652,18000
8222,252000
20,79200
9806,32400
5631,180000
7331,50400
13171,32400
1164,58320
2552,126000
6250,28800
37,30000
2155,208800
231,39600
13187,10800
24398,60900
26712,12840
8774,14400
2591,21600
3042,64080
1334,13800
2116,54000
22038,9660
2262,144000
2924,37920
1377,25200
15067,1200
14674,258300
71,10800
3153,28800
207,28800
7693,16560
29004,39600
6898,71100
14593,144000
372,126000
14945,7920
7391,32400
379,49440
7171,14400
14593,136800
7599,55200
7599,54000
14546,53760
19911,84600
2063,45420
22358,3600
36952,78120
3265,10800
732,108000
73,144000
1976,28800
836,43200
83731,79200
80,244800
68533,1500
6347,2340
2155,216000
24220,163020
7344,21600
6032,86400
1343,108000
9727,36600
22439,432000
7477,258300
12751,18000
2591,3600
2031,25200
6032,108000
1050,86400
1050,86400
75540,14400
434,72000
10232,36000
9577,378120
36952,76200
6189,36000
9638,18000
5133,221160
21,18000
1881,255600
115,198000
498,111600
2853,21600
2155,216000
80,252000
9730,16200
1078,90000
1108,36000
233,50400
891,334800
1104,10260
1963,8940
6732,20820
5508,46800
11194,62340
11156,196020
3349,54000
250,54000
22,46800
77,108000
671,273600
1265,111600
2935,10800
1020,360000
71,10800
1334,18000
1062,39600
12070,21600
490,28800
1164,39600
10962,216000
338,36000
59848,64800
427,239940
1331,10800
8876,14400
2903,720000
9604,3600
533,72000
6167,17400
2126,61200
26363,23280
5780,40380
5495,32940
1341,36000
11667,296880
22406,300
71,10800
18100,124020
9806,22740
21897,9720
3802,126000
17026,21600
651,3600
89989,1200
20283,118800
1331,14400
1270,75600
2031,41100
7477,115200
8371,32400
24105,26100
15731,720
6803,32400
3020,50400
2939,10800
6775,1800
11346,10800
1334,7200
1314,14400
1377,25200
928,32400
1020,144000
6328,82800
2163,7980
8372,54000
7599,54000
2939,18000
1871,41400
7211,18000
1889,126000
2031,46800
22919,15240
37140,42000
68142,3720
7289,61200
18,29880
239,72000
21604,7200
1029,72000
538,86400
21704,50820
13182,84240
55935,88800
472,323700
6342,10800
73,108000
43,111600
1558,45000
9174,7800
124,90000
1011,162000
20,58320
73,126000
1212,132420
1337,68400
1267,93600
5894,100800
434,144000
7344,28800
359,216000
247,36000
1942,194400
434,103560
6874,184620
1377,32400
1942,216000
40,57600
16837,900
296,54120
2369,28800
7789,180000
1009,43200
4137,38700
32318,54000
9630,72000
1334,9120
1334,14400
1009,90000
22361,7200
128,40380
11416,266040
26951,205200
545,104400
1887,126000
9874,36000
514,23400
2977,126000
1377,19500
75,93600
3082,3300
2437,57600
530,54000
12517,36000
1962,104400
2947,25200
7170,32400
1164,32400
14393,9000
338,9000
1334,12600
558,126000
1334,10800
119,126000
11492,244800
1174,90000
527,25200
7405,21600
1103,52200
1906,11460
9881,7200
11346,9000
1906,10800
2155,252000
27148,3240
1036,108000
1035,61200
1075,90000
1341,21600
501,82800
2940,45000
1286,11220
2525,21600
2025,450000
6803,36000
1906,10800
472,432000
1020,108000
1111,25200
26193,36000
11133,360000
7351,72000
1985,288000
86224,55680
75,144000
233,21600
7386,36000
43,72000
2549,9000
2061,72000
4758,36000
18189,23400
9177,8640
501,50400
1519,139200
12517,23400
2897,90000
26776,17040
2062,72000
2207,43200
11649,4500
12503,43200
13199,97200
14702,5700
7144,18000
7222,86400
17754,3600
911,66300
3077,41280
119,43200
29004,39480
9261,61200
500,60840
338,39600
1318,90000
27033,34680
11617,86400
1355,108000
651,3600
2031,36000
1384,18000
7655,1800
6829,54000
7599,48600
1983,43200
71,7200
15,216000
6801,108000
493,72000
565,72000
9927,432000
2126,17340
8652,34260
12527,144000
26916,26340
25746,100800
7346,306000
5606,126000
1887,201600
1009,52560
1113,21600
1334,10800
2479,9000
547,36000
6803,32400
6803,32400
72,39600
7342,10800
509,50400
7334,108000
7025,20460
7334,263640
1990,10800
547,33060
7473,4920
18997,23400
989,54000
71,19080
9661,27900
3718,8760
24920,23400
4700,271800
530,57600
374,13440
21,57600
1827,43200
826,72000
342,25200
16,216000
17424,90000
7609,32400
14147,18000
3097,50400
36669,108000
16,216000
427,131400
6801,108000
385,43200
434,100800
1022,18000
8352,7200
128,50400
7599,54000
9771,7200
1942,362580
7087,20820
8968,27000
12517,32400
1570,55800
9497,3600
22751,25200
3022,39600
1262,68400
2969,11880
27148,3240
9604,720
9223,8400
1906,5400
71,14400
8864,104400
2552,79200
1942,269640
7205,10800
4786,92220
2064,21600
9724,115200
7579,75600
7211,13500
1051,18600
76445,29400
128,57600
517,28800
333,14400
104786,10620
7698,19440
13199,100800
75,96180
2064,10800
427,121140
11056,43260
1443,189840
7351,79200
916,23220
35076,1800
1815,46560
538,79200
9061,31740
5619,51060
559,29400
3097,33600
56,306000
732,144000
1164,72000
3097,32400
1033,82800
7116,13200
7116,13200
533,28800
7344,28800
731,144000
7832,12960
2164,28800
6189,26100
1028,43200
11186,34620
7386,43200
2886,72000
9604,7440
13923,36000
3232,40200
21863,116040
76,235800
2939,14400
9630,252000
10232,40500
1794,7200
1289,36000
1107,8580
538,64800
109,147600
1051,21600
41,115200
550,21600
86461,18000
604,16860
3035,3600
4755,38700
1161,25200
2985,288000
76,216000
570,55800
19325,6
1341,32880
17537,3600
389,216000
65,54000
231,36000
471,43200
966,21600
1038,68760
4797,54000
76397,3660
1033,90660
3035,9000
15108,40920
27249,36000
233,32460
20,79200
1266,46800
7116,13200
2358,90000
74,108000
1981,110400
6057,57000
3149,51300
20437,36000
498,201600
27149,2520
233,72000
1134,23760
7334,134100
6887,336660
11162,380100
247,32400
78149,29820
15,180000
231,18000
7116,13200
118,108000
1,108000
20,16200
1029,288000
2985,151200
979,43200
2130,43200
71,7200
1331,14400
12412,46440
9630,288000
73,86400
11599,15600
